id,State,"Total Year-Round Beds (ES, TH, SH)",year
1,AK,1878,2019
2,AL,2701,2019
3,AR,1917,2019
4,AZ,6568,2019
5,CA,46306,2019
6,CO,8196,2019
7,CT,2697,2019
8,DC,6156,2019
9,DE,1014,2019
10,FL,18617,2019
11,GA,7600,2019
12,GU,161,2019
13,HI,3121,2019
14,IA,2518,2019
15,ID,1466,2019
16,IL,9939,2019
17,IN,5916,2019
18,KS,2561,2019
19,KY,3049,2019
20,LA,2708,2019
21,MA,17472,2019
22,MD,5303,2019
23,ME,2254,2019
24,MI,8630,2019
25,MN,6356,2019
26,MO,5866,2019
27,MP,30,2019
28,MS,1093,2019
29,MT,1319,2019
30,NC,7983,2019
31,ND,754,2019
32,NE,2558,2019
33,NH,1325,2019
34,NJ,7151,2019
35,NM,2465,2019
36,NV,3063,2019
37,NY,89238,2019
38,OH,9231,2019
39,OK,3221,2019
40,OR,7147,2019
41,PA,12687,2019
42,PR,855,2019
43,RI,952,2019
44,SC,3071,2019
45,SD,1074,2019
46,TN,5413,2019
47,TX,18271,2019
48,UT,2927,2019
49,VA,5092,2019
50,VI,78,2019
51,VT,853,2019
52,WA,14082,2019
53,WI,4514,2019
54,WV,1513,2019
55,WY,619,2019
56,AK,1940,2018
57,AL,3188,2018
58,AR,2362,2018
59,AZ,6683,2018
60,CA,43548,2018
61,CO,7532,2018
62,CT,3417,2018
63,DC,6721,2018
64,DE,1122,2018
65,FL,19554,2018
66,GA,7363,2018
67,GU,140,2018
68,HI,3599,2018
69,IA,3026,2018
70,ID,1413,2018
71,IL,10210,2018
72,IN,5568,2018
73,KS,2599,2018
74,KY,2875,2018
75,LA,2647,2018
76,MA,17310,2018
77,MD,5529,2018
78,ME,2734,2018
79,MI,8531,2018
80,MN,6660,2018
81,MO,5624,2018
82,MP,30,2018
83,MS,1079,2018
84,MT,1376,2018
85,NC,7963,2018
86,ND,726,2018
87,NE,2390,2018
88,NH,1349,2018
89,NJ,7099,2018
90,NM,1651,2018
91,NV,3033,2018
92,NY,88063,2018
93,OH,9269,2018
94,OK,3339,2018
95,OR,6419,2018
96,PA,12909,2018
97,PR,955,2018
98,RI,1003,2018
99,SC,3001,2018
100,SD,1090,2018
101,TN,5674,2018
102,TX,18006,2018
103,UT,2968,2018
104,VA,5303,2018
105,VI,205,2018
106,VT,937,2018
107,WA,15016,2018
108,WI,4721,2018
109,WV,1593,2018
110,WY,560,2018
111,AK,1828,2017
112,AL,3444,2017
113,AR,2062,2017
114,AZ,5880,2017
115,CA,44473,2017
116,CO,7071,2017
117,CT,3094,2017
118,DC,7402,2017
119,DE,1143,2017
120,FL,19982,2017
121,GA,8127,2017
122,GU,129,2017
123,HI,4252,2017
124,IA,3266,2017
125,ID,1691,2017
126,IL,10177,2017
127,IN,6142,2017
128,KS,2516,2017
129,KY,3540,2017
130,LA,3164,2017
131,MA,16614,2017
132,MD,5616,2017
133,ME,2457,2017
134,MI,8624,2017
135,MN,7013,2017
136,MO,6057,2017
137,MP,41,2017
138,MS,1322,2017
139,MT,1290,2017
140,NC,8002,2017
141,ND,1034,2017
142,NE,2569,2017
143,NH,1383,2017
144,NJ,7001,2017
145,NM,1674,2017
146,NV,3331,2017
147,NY,87836,2017
148,OH,9420,2017
149,OK,3678,2017
150,OR,6648,2017
151,PA,14246,2017
152,PR,1531,2017
153,RI,1069,2017
154,SC,2931,2017
155,SD,1356,2017
156,TN,6326,2017
157,TX,19344,2017
158,UT,2754,2017
159,VA,5628,2017
160,VI,132,2017
161,VT,961,2017
162,WA,14288,2017
163,WI,5525,2017
164,WV,1657,2017
165,WY,698,2017
166,AK,1826,2016
167,AL,3489,2016
168,AR,2394,2016
169,AZ,6942,2016
170,CA,42351,2016
171,CO,7656,2016
172,CT,3236,2016
173,DC,8314,2016
174,DE,1170,2016
175,FL,21575,2016
176,GA,8792,2016
177,GU,146,2016
178,HI,4412,2016
179,IA,3568,2016
180,ID,1906,2016
181,IL,11381,2016
182,IN,6479,2016
183,KS,2462,2016
184,KY,3797,2016
185,LA,3675,2016
186,MA,17382,2016
187,MD,6138,2016
188,ME,2484,2016
189,MI,9261,2016
190,MN,6871,2016
191,MO,6529,2016
192,MS,1383,2016
193,MT,1257,2016
194,NC,8641,2016
195,ND,980,2016
196,NE,2733,2016
197,NH,1476,2016
198,NJ,7127,2016
199,NM,1880,2016
200,NV,3577,2016
201,NY,84730,2016
202,OH,9844,2016
203,OK,3762,2016
204,OR,5791,2016
205,PA,15682,2016
206,PR,2000,2016
207,RI,1122,2016
208,SC,3721,2016
209,SD,1157,2016
210,TN,6979,2016
211,TX,20297,2016
212,UT,2499,2016
213,VA,5942,2016
214,VI,143,2016
215,VT,752,2016
216,WA,14627,2016
217,WI,6404,2016
218,WV,1731,2016
219,WY,812,2016
220,AK,1860,2015
221,AL,3613,2015
222,AR,2486,2015
223,AZ,7473,2015
224,CA,45929,2015
225,CO,7653,2015
226,CT,3399,2015
227,DC,6963,2015
228,DE,1146,2015
229,FL,22026,2015
230,GA,9219,2015
231,GU,154,2015
232,HI,4363,2015
233,IA,3606,2015
234,ID,1859,2015
235,IL,11975,2015
236,IN,6511,2015
237,KS,2979,2015
238,KY,4087,2015
239,LA,4028,2015
240,MA,17707,2015
241,MD,6076,2015
242,ME,2576,2015
243,MI,10337,2015
244,MN,6779,2015
245,MO,6700,2015
246,MS,1498,2015
247,MT,1224,2015
248,NC,9337,2015
249,ND,966,2015
250,NE,2973,2015
251,NH,1369,2015
252,NJ,7737,2015
253,NM,2277,2015
254,NV,4466,2015
255,NY,86578,2015
256,OH,10273,2015
257,OK,3804,2015
258,OR,6144,2015
259,PA,16140,2015
260,PR,2112,2015
261,RI,1142,2015
262,SC,3755,2015
263,SD,1460,2015
264,TN,6981,2015
265,TX,20812,2015
266,UT,2760,2015
267,VA,6077,2015
268,VI,128,2015
269,VT,903,2015
270,WA,14476,2015
271,WI,6703,2015
272,WV,1815,2015
273,WY,853,2015
274,AK,1814,2014
275,AL,3724,2014
276,AR,2151,2014
277,AZ,8873,2014
278,CA,44035,2014
279,CO,8466,2014
280,CT,3411,2014
281,DC,7281,2014
282,DE,1172,2014
283,FL,22316,2014
284,GA,9256,2014
285,GU,186,2014
286,HI,4336,2014
287,IA,3643,2014
288,ID,1768,2014
289,IL,12676,2014
290,IN,6842,2014
291,KS,3188,2014
292,KY,4262,2014
293,LA,4574,2014
294,MA,15471,2014
295,MD,5950,2014
296,ME,2730,2014
297,MI,10643,2014
298,MN,7336,2014
299,MO,7284,2014
300,MS,1607,2014
301,MT,1337,2014
302,NC,9724,2014
303,ND,936,2014
304,NE,3446,2014
305,NH,1398,2014
306,NJ,7561,2014
307,NM,2325,2014
308,NV,5175,2014
309,NY,78506,2014
310,OH,10759,2014
311,OK,3880,2014
312,OR,6924,2014
313,PA,15922,2014
314,PR,1962,2014
315,RI,1225,2014
316,SC,3473,2014
317,SD,1747,2014
318,TN,6791,2014
319,TX,22443,2014
320,UT,2740,2014
321,VA,6274,2014
322,VI,127,2014
323,VT,1040,2014
324,WA,14886,2014
325,WI,6504,2014
326,WV,1965,2014
