AK,2,1907,2019
AL,8,3261,2019
AR,5,2717,2019
AZ,3,10007,2019
CA,44,151278,2019
CO,3,9619,2019
CT,2,3033,2019
DC,1,6521,2019
DE,1,921,2019
FL,27,28328,2019
GA,9,10443,2019
GU,1,875,2019
HI,2,6412,2019
IA,3,2315,2019
ID,2,2315,2019
IL,19,10199,2019
IN,2,5471,2019
KS,5,2381,2019
KY,3,4079,2019
LA,7,2941,2019
MA,15,18471,2019
MD,16,6561,2019
ME,1,2106,2019
MI,21,8575,2019
MN,10,7977,2019
MO,8,6179,2019
MP,1,1807,2019
MS,3,1184,2019
MT,1,1357,2019
NC,12,9314,2019
ND,1,557,2019
NE,3,2365,2019
NH,3,1396,2019
NJ,16,8862,2019
NM,2,3241,2019
NV,3,7169,2019
NY,27,92091,2019
OH,9,10345,2019
OK,8,3944,2019
OR,7,15876,2019
PA,16,13199,2019
PR,2,2535,2019
RI,1,1055,2019
SC,4,4172,2019
SD,1,995,2019
TN,10,7467,2019
TX,11,25848,2019
UT,3,2798,2019
VA,16,5783,2019
VI,1,314,2019
VT,2,1089,2019
WA,6,21577,2019
WI,4,4538,2019
WV,4,1397,2019
WY,1,548,2019
Total,397,567715,2019
AK,2,2016,2018
AL,8,3434,2018
AR,7,2712,2018
AZ,3,9865,2018
CA,43,129972,2018
CO,3,10857,2018
CT,2,3976,2018
DC,1,6904,2018
DE,1,1082,2018
FL,27,31030,2018
GA,9,9499,2018
GU,1,854,2018
HI,2,6530,2018
IA,3,2749,2018
ID,2,2012,2018
IL,20,10643,2018
IN,2,5258,2018
KS,5,2216,2018
KY,3,3688,2018
LA,7,3059,2018
MA,15,20068,2018
MD,16,7144,2018
ME,1,2516,2018
MI,21,8351,2018
MN,10,7243,2018
MO,8,5883,2018
MP,1,1044,2018
MS,3,1352,2018
MT,1,1405,2018
NC,12,9268,2018
ND,1,542,2018
NE,3,2421,2018
NH,3,1450,2018
NJ,16,9398,2018
NM,2,2551,2018
NV,3,7544,2018
NY,26,91897,2018
OH,9,10249,2018
OK,8,3871,2018
OR,7,14476,2018
PA,16,13512,2018
PR,2,3182,2018
RI,1,1101,2018
SC,4,3933,2018
SD,1,1159,2018
TN,10,7883,2018
TX,11,25310,2018
UT,3,2876,2018
VA,16,5975,2018
VI,1,486,2018
VT,2,1291,2018
WA,6,22304,2018
WI,4,4907,2018
WV,4,1243,2018
WY,1,639,2018
Total,398,552830,2018
AK,2,1845,2017
AL,8,3793,2017
AR,6,2467,2017
AZ,3,8947,2017
CA,43,131532,2017
CO,3,10940,2017
CT,2,3388,2017
DC,1,7473,2017
DE,1,994,2017
FL,27,32190,2017
GA,9,10174,2017
GU,1,852,2017
HI,2,7220,2017
IA,3,2756,2017
ID,2,2037,2017
IL,20,10798,2017
IN,2,5438,2017
KS,5,2287,2017
KY,3,4025,2017
LA,8,3305,2017
MA,15,17565,2017
MD,16,7247,2017
ME,1,2280,2017
MI,21,9051,2017
MN,10,7668,2017
MO,8,6037,2017
MP,1,672,2017
MS,3,1472,2017
MT,1,1529,2017
NC,12,8962,2017
ND,1,1089,2017
NE,3,2501,2017
NH,3,1456,2017
NJ,16,8536,2017
NM,2,2482,2017
NV,3,7833,2017
NY,26,89503,2017
OH,9,10095,2017
OK,8,4199,2017
OR,7,13953,2017
PA,16,14138,2017
PR,2,3525,2017
RI,1,1180,2017
SC,4,3916,2017
SD,1,943,2017
TN,10,8309,2017
TX,11,23548,2017
UT,3,2852,2017
VA,16,6067,2017
VI,1,381,2017
VT,2,1225,2017
WA,7,21112,2017
WI,4,5027,2017
WV,4,1309,2017
WY,1,873,2017
Total,399,550996,2017
AK,2,1940,2016
AL,8,4111,2016
AR,7,2463,2016
AZ,3,9707,2016
CA,43,118142,2016
CO,3,10550,2016
CT,2,3902,2016
DC,1,8350,2016
DE,1,1070,2016
FL,27,33559,2016
GA,9,12909,2016
GU,1,1085,2016
HI,2,7921,2016
IA,3,3064,2016
ID,2,2247,2016
IL,20,11590,2016
IN,3,5798,2016
KS,5,2255,2016
KY,3,4237,2016
LA,9,3994,2016
MA,16,19608,2016
MD,16,7689,2016
ME,2,2241,2016
MI,21,9316,2016
MN,10,7341,2016
MO,8,6194,2016
MS,3,1738,2016
MT,1,1418,2016
NC,12,9559,2016
ND,1,923,2016
NE,3,2754,2016
NH,3,1366,2016
NJ,15,8895,2016
NM,2,2263,2016
NV,3,7398,2016
NY,26,86352,2016
OH,9,10404,2016
OK,8,4107,2016
OR,7,13238,2016
PA,16,15339,2016
PR,2,4418,2016
RI,1,1160,2016
SC,4,5051,2016
SD,1,1072,2016
TN,10,8779,2016
TX,11,23122,2016
UT,3,2807,2016
VA,16,6268,2016
VI,1,341,2016
VT,2,1117,2016
WA,7,20827,2016
WI,4,5685,2016
WV,4,1387,2016
WY,1,857,2016
Total,402,549928,2016
AK,2,1956,2015
AL,8,3970,2015
AR,7,2560,2015
AZ,3,9896,2015
CA,43,115738,2015
CO,3,9953,2015
CT,3,4047,2015
DC,1,7298,2015
DE,1,953,2015
FL,27,35900,2015
GA,9,13790,2015
GU,1,1280,2015
HI,2,7620,2015
IA,3,3081,2015
ID,2,1966,2015
IL,20,13177,2015
IN,3,5863,2015
KS,5,2588,2015
KY,3,4538,2015
LA,9,4081,2015
MA,16,21135,2015
MD,16,8390,2015
ME,2,2372,2015
MI,21,10516,2015
MN,10,7546,2015
MO,8,6482,2015
MS,3,1983,2015
MT,1,1709,2015
NC,12,10685,2015
ND,1,1305,2015
NE,3,2744,2015
NH,3,1445,2015
NJ,16,10098,2015
NM,2,2629,2015
NV,3,8743,2015
NY,27,88250,2015
OH,9,11182,2015
OK,8,3777,2015
OR,7,13226,2015
PA,16,15421,2015
PR,2,4518,2015
RI,1,1111,2015
SC,4,5354,2015
SD,1,1036,2015
TN,10,9123,2015
TX,11,23678,2015
UT,3,3025,2015
VA,16,7001,2015
VI,1,337,2015
VT,2,1523,2015
WA,7,19419,2015
WI,4,6057,2015
WV,4,1835,2015
WY,1,798,2015
Total,406,564708,2015
AK,2,1784,2014
AL,8,4561,2014
AR,6,2936,2014
AZ,3,10495,2014
CA,40,113952,2014
CO,3,10028,2014
CT,6,4450,2014
DC,1,7748,2014
DE,1,901,2014
FL,28,41542,2014
GA,9,16521,2014
GU,1,1356,2014
HI,2,6918,2014
IA,3,3122,2014
ID,2,2104,2014
IL,20,13107,2014
IN,3,5971,2014
KS,5,2783,2014
KY,3,5089,2014
LA,9,4606,2014
MA,18,21237,2014
MD,16,7856,2014
ME,2,2726,2014
MI,21,12227,2014
MN,10,8377,2014
MO,8,7282,2014
MS,3,2226,2014
MT,1,1745,2014
NC,12,11491,2014
ND,1,1258,2014
NE,3,3026,2014
NH,3,1376,2014
NJ,17,11671,2014
NM,2,2746,2014
NV,3,8582,2014
NY,29,80590,2014
OH,9,11823,2014
OK,8,4191,2014
OR,7,12164,2014
PA,18,15333,2014
PR,2,4132,2014
RI,1,1190,2014
SC,4,5057,2014
SD,1,885,2014
TN,10,9415,2014
TX,12,28495,2014
UT,3,3081,2014
VA,16,7020,2014
VI,1,448,2014
VT,2,1559,2014
WA,7,18442,2014
WI,4,6055,2014
WV,4,2013,2014
WY,1,757,2014
Total,414,576450,2014
AK,2,1946,2013
AL,8,4689,2013
AR,6,3812,2013
AZ,3,10562,2013
CA,40,118552,2013
CO,3,9754,2013
CT,6,4448,2013
DC,1,6865,2013
DE,1,946,2013
FL,28,47862,2013
GA,9,16971,2013
GU,1,1271,2013
HI,2,6335,2013
IA,3,3084,2013
ID,2,1781,2013
IL,20,13425,2013
IN,3,6096,2013
KS,5,2693,2013
KY,3,5245,2013
LA,9,5226,2013
MA,18,19029,2013
MD,16,8205,2013
ME,2,3016,2013
MI,21,11527,2013
MN,10,8214,2013
MO,8,8581,2013
MS,3,2403,2013
MT,1,1878,2013
NC,12,12168,2013
ND,1,2069,2013
NE,3,3145,2013
