State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
AK,1642,1387,255,1062,580,278,203,2007
AL,5452,3796,1656,4184,1268,993,974,2007
AR,3836,2285,1551,2987,849,852,287,2007
AZ,14646,8618,6028,10020,4626,2804,869,2007
CA,138986,48511,90475,110952,28034,40341,16701,2007
CO,14225,6971,7254,6844,7381,2050,1541,2007
CT,4482,3671,811,3173,1309,1023,436,2007
DC,5320,4980,340,3717,1603,1760,524,2007
DE,1061,854,207,716,345,150,204,2007
FL,48069,20529,27540,33040,15029,7463,5841,2007
GA,19639,8341,11298,12521,7118,2484,2243,2007
GU,725,103,622,254,471,0,0,2007
HI,6070,2712,3358,3335,2735,778,223,2007
IA,2734,2441,293,1504,1230,307,162,2007
ID,1749,1125,624,1102,647,95,102,2007
IL,15487,12171,3316,8653,6834,2681,1330,2007
IN,7358,6096,1262,4734,2624,694,516,2007
KS,2111,1829,282,1208,903,159,296,2007
KY,8061,5940,2121,3890,4171,574,482,2007
LA,5494,3917,1577,2973,2521,562,408,2007
MA,15127,13713,1414,8292,6835,2790,1252,2007
MD,9628,6418,3210,5052,4576,1550,572,2007
ME,2638,2576,62,1136,1502,97,119,2007
MI,28295,11552,16743,17553,10742,2716,876,2007
MN,7323,5878,1445,3269,4054,1414,551,2007
MO,6247,5137,1110,3336,2911,1221,416,2007
MP, , , , , , , ,2007
MS,1377,851,526,1115,262,593,161,2007
MT,1150,855,295,633,517,83,143,2007
NC,11802,7879,3923,8391,3411,1645,992,2007
ND,636,577,59,403,233,80,67,2007
NE,3531,3007,524,2172,1359,785,165,2007
NH,2248,1273,975,1255,993,367,111,2007
NJ,17314,14836,2478,8972,8342,2525,618,2007
NM,3015,1748,1267,1861,1154,711,163,2007
NV,8642,4818,3824,6477,2165,871,1623,2007
NY,62601,57281,5320,28056,34545,6476,4742,2007
OH,11264,9380,1884,6870,4394,2308,1062,2007
OK,4221,3089,1132,2982,1239,779,381,2007
OR,17590,8329,9261,9871,7719,2829,705,2007
PA,16220,14741,1479,8229,7991,1589,1805,2007
PR,4309,1368,2941,3914,395,2904,104,2007
RI,1372,1323,49,643,729,134,62,2007
SC,5660,3086,2574,3771,1889,573,435,2007
SD,579,538,41,268,311,104,108,2007
TN,11210,6446,4764,8462,2748,2767,1028,2007
TX,39788,22882,16906,26306,13482,7931,5527,2007
UT,3011,2698,313,1945,1066,801,227,2007
VA,9746,7567,2179,5523,4223,1963,848,2007
VI,559,72,487,537,22,487,5,2007
VT,1035,720,315,599,436,191,64,2007
WA,23379,16857,6522,13289,10090,2603,1421,2007
WI,5648,5085,563,2403,3245,689,466,2007
WV,2409,2147,262,1915,494,1151,787,2007
WY,537,397,140,331,206,38,40,2007
AK,"1,646","1,452",194,"1,067",579,439,218,2008
AL,"5,387","3,843","1,544","4,086","1,301","1,052",801,2008
AR,"3,255","2,020","1,235","2,625",630,893,235,2008
AZ,"12,488","6,970","5,518","8,428","4,060","3,097",736,2008
CA,"136,531","46,965","89,566","109,050","27,481","40,254","17,276",2008
CO,"14,747","6,877","7,870","6,260","8,487","1,082","1,608",2008
CT,"4,627","4,020",607,"2,773","1,854",875,524,2008
DC,"6,044","5,666",378,"4,208","1,836","2,184",667,2008
DE,933,862,71,652,281,248,127,2008
FL,"50,158","20,724","29,434","32,959","17,199","8,578","5,780",2008
GA,"19,095","8,865","10,230","13,728","5,367","2,671","3,336",2008
GU,725,103,622,254,471,50,3,2008
HI,"6,061","2,703","3,358","3,326","2,735",778,223,2008
IA,"3,346","3,087",259,"1,609","1,737",277,284,2008
ID,"1,464","1,250",214,817,647,46,131,2008
IL,"14,724","11,480","3,244","8,356","6,368","2,557","1,286",2008
IN,"7,395","5,923","1,472","4,937","2,458",696,535,2008
KS,"1,738","1,500",238,"1,080",658,177,313,2008
KY,"8,137","6,195","1,942","4,344","3,793",642,"1,046",2008
LA,"5,481","3,700","1,781","2,894","2,587",613,432,2008
MA,"14,506","13,437","1,069","7,127","7,379","2,352","1,302",2008
MD,"9,219","6,054","3,165","4,806","4,413","1,489",541,2008
ME,"2,632","2,588",44,"1,241","1,391",132,89,2008
MI,"28,248","11,781","16,467","17,364","10,884","2,771",832,2008
MN,"7,644","6,270","1,374","3,388","4,256","1,537",595,2008
MO,"7,687","5,607","2,080","4,195","3,492","1,226",377,2008
MP, , , , , , , ,2008
MS,"1,961","1,206",755,"1,697",264,877,197,2008
MT,"1,417","1,007",410,968,449,138,247,2008
NC,"12,411","8,025","4,386","8,749","3,662","1,827","1,096",2008
ND,615,596,19,375,240,51,78,2008
NE,"3,985","3,227",758,"2,244","1,741",707,144,2008
NH,"2,019","1,535",484,"1,172",847,437,208,2008
NJ,"13,832","11,860","1,972","6,848","6,984","1,269",847,2008
NM,"3,015","1,748","1,267","1,861","1,154",711,163,2008
NV,"8,726","4,863","3,863","6,512","2,214",954,"1,632",2008
NY,"61,125","56,516","4,609","25,771","35,354","5,089","4,234",2008
OH,"12,912","10,377","2,535","7,865","5,047","2,252","1,033",2008
OK,"3,846","2,803","1,043","2,674","1,172",561,354,2008
OR,"20,653","9,946","10,707","11,548","9,105","3,346",767,2008
PA,"15,378","14,079","1,299","7,734","7,644","1,622","1,101",2008
PR,"3,012",810,"2,202","2,668",344,"2,917",157,2008
RI,"1,196","1,142",54,714,482,245,99,2008
SC,"5,660","3,086","2,574","3,809","1,851",743,475,2008
SD,579,538,41,268,311,104,108,2008
TN,"9,705","5,660","4,045","7,242","2,463","3,364",903,2008
TX,"40,190","24,080","16,110","27,950","12,240","8,844","5,982",2008
UT,"3,434","3,178",256,"2,018","1,416",702,218,2008
VA,"8,469","6,895","1,574","4,838","3,631","1,678",898,2008
VI,602,115,487,566,36,513,19,2008
VT,954,696,258,627,327,234,32,2008
WA,"21,954","15,456","6,498","12,156","9,798","3,073","1,330",2008
WI,"5,449","4,934",515,"2,285","3,164",687,481,2008
WV,"2,016","1,422",594,"1,435",581,387,104,2008
WY,751,619,132,357,394,67,19,2008
AK,1992,1665,327,1239,753,323,259,2009
AL,6080,3913,2167,4686,1394,1189,1063,2009
AR,2852,1730,1122,2181,671,406,249,2009
AZ,14721,8366,6355,9959,4762,2229,2343,2009
CA,123678,50777,72901,97534,26144,31412,17973,2009
CO,15268,9031,6237,7401,7867,1286,1471,2009
CT,4605,4103,502,2773,1832,824,462,2009
DC,6228,5907,321,3934,2294,1923,642,2009
DE,1130,1083,47,776,354,167,100,2009
FL,55599,21867,33732,34432,21167,9062,7135,2009
GA,20360,9419,10941,14365,5995,3771,2760,2009
GU,1088,182,906,391,697,87,22,2009
HI,5782,3268,2514,2941,2841,772,499,2009
IA,3380,3221,159,1655,1725,306,270,2009
ID,1939,1477,462,1117,822,210,270,2009
IL,14055,11851,2204,7475,6580,2212,1028,2009
IN,6984,5206,1778,4151,2833,765,740,2009
KS,1892,1696,196,1238,654,238,638,2009
KY,5999,5299,700,3302,2697,671,675,2009
LA,12504,4118,8386,10098,2406,4815,1985,2009
MA,15482,14476,1006,7057,8425,1937,1890,2009
MD,11698,7446,4252,6641,5057,2062,932,2009
ME,2444,2406,38,1124,1320,186,123,2009
MI,14005,11298,2707,7857,6148,1649,1054,2009
MN,7718,6772,946,3393,4325,1449,525,2009
MO,6959,5469,1490,3823,3136,892,699,2009
MP, , , , , , , ,2009
MS,2797,1221,1576,1843,954,522,358,2009
MT,1196,833,363,752,444,160,206,2009
NC,12918,8473,4445,9159,3759,1490,1118,2009
ND,773,765,8,548,225,70,168,2009
NE,3718,3079,639,2072,1646,495,298,2009
NH,1645,1406,239,891,754,330,167,2009
NJ,13169,11871,1298,5962,7207,934,618,2009
NM,3475,2108,1367,2343,1132,779,408,2009
NV,11089,7792,3297,9394,1695,1297,1936,2009
NY,61067,57454,3613,24557,36510,4280,5879,2009
OH,12700,10929,1771,7774,4926,2303,1390,2009
OK,4838,3307,1531,3227,1611,654,475,2009
OR,17309,7442,9867,10443,6866,2842,1277,2009
PA,15096,13819,1277,7384,7712,1798,1440,2009
PR,4070,1325,2745,3730,340,2195,97,2009
RI,1607,1556,51,1139,468,220,120,2009
SC,4473,3036,1437,3194,1279,674,629,2009
SD,731,667,64,445,286,109,160,2009
TN,10532,7133,3399,8048,2484,2632,1142,2009
TX,36761,21658,15103,22564,14197,6020,5491,2009
UT,3795,3540,255,2242,1553,700,166,2009
VA,8852,7284,1568,5066,3786,1621,960,2009
VI,471,76,395,430,41,369,32,2009
VT,1214,1057,157,693,521,134,61,2009
WA,22782,16237,6545,12086,10696,2609,1963,2009
WI,6525,5465,1060,3161,3364,716,608,2009
WV,1667,1278,389,1101,566,337,271,2009
WY,515,451,64,340,175,79,117,2009
AK,1863,1671,192,1118,745,164,300,2010
AL,6046,3891,2155,4553,1493,1043,1089,2010
AR,2762,1728,1034,2120,642,395,362,2010
AZ,13711,7214,6497,9226,4485,1935,2230,2010
CA,123480,50899,72581,96940,26540,31235,17604,2010
CO,15482,9031,6451,7574,7908,1432,1316,2010
CT,4316,3817,499,2993,1323,777,483,2010
DC,6539,6109,430,4016,2523,2110,579,2010
DE,982,930,52,681,301,97,74,2010
FL,57551,21817,35734,35738,21813,9232,7794,2010
GA,19836,8746,11090,14377,5459,3635,2766,2010
GU,1635,182,1453,534,1101,28,27,2010
HI,5834,3535,2299,2889,2945,801,419,2010
IA,3014,2903,111,1528,1486,249,221,2010
ID,2346,1564,782,1445,901,111,239,2010
IL,14395,12208,2187,7568,6827,2130,1133,2010
IN,6452,5233,1219,3588,2864,775,767,2010
KS,2024,1828,196,1318,706,191,711,2010
KY,6623,5599,1024,4125,2498,695,619,2010
LA,12482,4096,8386,10101,2381,4815,2015,2010
MA,16646,15595,1051,6403,10243,2007,1597,2010
MD,10845,6515,4330,5999,4846,2179,910,2010
ME,2379,2351,28,1061,1318,226,108,2010
MI,13058,10219,2839,7365,5693,1824,964,2010
MN,7869,6730,1139,3605,4264,1490,644,2010
