ID,STATE,HOMELESSNESS,YEAR
1,AK,1907,2019
2,AL,3261,2019
3,AR,2717,2019
4,AZ,10007,2019
5,CA,151278,2019
6,CO,9619,2019
7,CT,3033,2019
8,DC,6521,2019
9,DE,921,2019
10,FL,28328,2019
11,GA,10443,2019
12,GU,875,2019
13,HI,6412,2019
14,IA,2315,2019
15,ID,2315,2019
16,IL,10199,2019
17,IN,5471,2019
18,KS,2381,2019
19,KY,4079,2019
20,LA,2941,2019
21,MA,18471,2019
22,MD,6561,2019
23,ME,2106,2019
24,MI,8575,2019
25,MN,7977,2019
26,MO,6179,2019
27,MP,1807,2019
28,MS,1184,2019
29,MT,1357,2019
30,NC,9314,2019
31,ND,557,2019
32,NE,2365,2019
33,NH,1396,2019
34,NJ,8862,2019
35,NM,3241,2019
36,NV,7169,2019
37,NY,92091,2019
38,OH,10345,2019
39,OK,3944,2019
40,OR,15876,2019
41,PA,13199,2019
42,PR,2535,2019
43,RI,1055,2019
44,SC,4172,2019
45,SD,995,2019
46,TN,7467,2019
47,TX,25848,2019
48,UT,2798,2019
49,VA,5783,2019
50,VI,314,2019
51,VT,1089,2019
52,WA,21577,2019
53,WI,4538,2019
54,WV,1397,2019
55,WY,548,2019
56,AK,2016,2018
57,AL,3434,2018
58,AR,2712,2018
59,AZ,9865,2018
60,CA,129972,2018
61,CO,10857,2018
62,CT,3976,2018
63,DC,6904,2018
64,DE,1082,2018
65,FL,31030,2018
66,GA,9499,2018
67,GU,854,2018
68,HI,6530,2018
69,IA,2749,2018
70,ID,2012,2018
71,IL,10643,2018
72,IN,5258,2018
73,KS,2216,2018
74,KY,3688,2018
75,LA,3059,2018
76,MA,20068,2018
77,MD,7144,2018
78,ME,2516,2018
79,MI,8351,2018
80,MN,7243,2018
81,MO,5883,2018
82,MP,1044,2018
83,MS,1352,2018
84,MT,1405,2018
85,NC,9268,2018
86,ND,542,2018
87,NE,2421,2018
88,NH,1450,2018
89,NJ,9398,2018
90,NM,2551,2018
91,NV,7544,2018
92,NY,91897,2018
93,OH,10249,2018
94,OK,3871,2018
95,OR,14476,2018
96,PA,13512,2018
97,PR,3182,2018
98,RI,1101,2018
99,SC,3933,2018
100,SD,1159,2018
101,TN,7883,2018
102,TX,25310,2018
103,UT,2876,2018
104,VA,5975,2018
105,VI,486,2018
106,VT,1291,2018
107,WA,22304,2018
108,WI,4907,2018
109,WV,1243,2018
110,WY,639,2018
111,AK,1845,2017
112,AL,3793,2017
113,AR,2467,2017
114,AZ,8947,2017
115,CA,131532,2017
116,CO,10940,2017
117,CT,3388,2017
