State,"Total Year-Round Beds (ES, TH, SH)",year
AK,1878,2019
AL,2701,2019
AR,1917,2019
AZ,6568,2019
CA,46306,2019
CO,8196,2019
CT,2697,2019
DC,6156,2019
DE,1014,2019
FL,18617,2019
GA,7600,2019
GU,161,2019
HI,3121,2019
IA,2518,2019
ID,1466,2019
IL,9939,2019
IN,5916,2019
KS,2561,2019
KY,3049,2019
LA,2708,2019
MA,17472,2019
MD,5303,2019
ME,2254,2019
MI,8630,2019
MN,6356,2019
MO,5866,2019
MP,30,2019
MS,1093,2019
MT,1319,2019
NC,7983,2019
ND,754,2019
NE,2558,2019
NH,1325,2019
NJ,7151,2019
NM,2465,2019
NV,3063,2019
NY,89238,2019
OH,9231,2019
OK,3221,2019
OR,7147,2019
PA,12687,2019
PR,855,2019
RI,952,2019
SC,3071,2019
SD,1074,2019
TN,5413,2019
TX,18271,2019
UT,2927,2019
VA,5092,2019
VI,78,2019
VT,853,2019
WA,14082,2019
WI,4514,2019
WV,1513,2019
WY,619,2019
Total,389549,2019
﻿State,"Total Year-Round Beds (ES, TH, SH)",year
AK,1940,2018
AL,3188,2018
AR,2362,2018
AZ,6683,2018
CA,43548,2018
CO,7532,2018
CT,3417,2018
DC,6721,2018
DE,1122,2018
FL,19554,2018
GA,7363,2018
GU,140,2018
HI,3599,2018
IA,3026,2018
ID,1413,2018
IL,10210,2018
IN,5568,2018
KS,2599,2018
KY,2875,2018
LA,2647,2018
MA,17310,2018
MD,5529,2018
ME,2734,2018
MI,8531,2018
MN,6660,2018
MO,5624,2018
MP,30,2018
MS,1079,2018
MT,1376,2018
NC,7963,2018
ND,726,2018
NE,2390,2018
NH,1349,2018
NJ,7099,2018
NM,1651,2018
NV,3033,2018
NY,88063,2018
OH,9269,2018
OK,3339,2018
OR,6419,2018
PA,12909,2018
PR,955,2018
RI,1003,2018
SC,3001,2018
SD,1090,2018
TN,5674,2018
TX,18006,2018
UT,2968,2018
VA,5303,2018
VI,205,2018
VT,937,2018
WA,15016,2018
WI,4721,2018
WV,1593,2018
WY,560,2018
Total,389622,2018
﻿State,"Total Year-Round Beds (ES, TH, SH)",year
AK,1828,2017
AL,3444,2017
AR,2062,2017
AZ,5880,2017
CA,44473,2017
CO,7071,2017
CT,3094,2017
DC,7402,2017
DE,1143,2017
FL,19982,2017
GA,8127,2017
GU,129,2017
HI,4252,2017
IA,3266,2017
